0,1,2,3,4,5,6,7,8,9,10,11,12,13
90,0,10,101,1,750,10,210,76.19047619,26.982,13,1.61,577.5,118
90,0,10,101,1,770,10,200,70,26.982,13,1.61,577.5,118
90,0,10,101,1,790,10,185,70.27027027,26.982,13,1.61,577.5,118
90,0,10,101,1,850,10,175,74.28571429,26.982,13,1.61,577.5,118
90,0,10,101,1,730,10,220,96,180.94788,73,1.5,761,146
90,0,10,101,1,750,10,220,96,180.94788,73,1.5,761,146
90,0,10,101,1,770,10,210,96,180.94788,73,1.5,761,146
90,0,10,101,1,790,10,205,96,180.94788,73,1.5,761,146
90,0,10,101,1,850,10,185,78.37837838,180.94788,73,1.5,761,146
84,6,10,105,0.5,760,15,229.5,88.1,50.9415,23,1.63,650.9,134
84,6,10,105,1,760,15,228.6,85.5,50.9415,23,1.63,650.9,134
84,6,10,105,2,760,15,226.1,85.2,50.9415,23,1.63,650.9,134
94,0,6,103,2,680,12,205,97.56097561,26.982,13,1.61,577.5,118
85,5,10,105,1,760,6,180,95,183.84,74,2.36,770,139
85,5,10,105,1,760,6,180,96,183.84,74,2.36,770,139
50,20,30,105,0.01,900,12,160,90,26.982,13,1.61,577.5,118
100,0,0,103,1,700,16,195,91.3,92.90638,41,1.6,652.1,146
100,0,0,103,1,700,16,200,87.5,92.90638,41,1.6,652.1,146
100,0,0,103,1,700,16,180,97.22222222,92.90638,41,1.6,652.1,146
90,5,5,101,0.5,750,28,216,96.3,26.982,13,1.61,577.5,118
90,5,5,101,1,750,28,213.8,97.2,26.982,13,1.61,577.5,118
90,5,5,101,2,750,28,212.4,98.3,26.982,13,1.61,577.5,118
90,5,5,101,3,750,28,198.7,96,26.982,13,1.61,577.5,118
90,5,5,101,5,750,28,183.2,93.2,26.982,13,1.61,577.5,118
80,10,10,100,5,800,15,187,74.86631016,22.99,11,0.93,495.8,186
80,10,10,100,10,800,15,191,82.72251309,22.99,11,0.93,495.8,186
80,10,10,100,15,800,15,179,66.48044693,22.99,11,0.93,495.8,186
94,0,6,105,0.02,680,15,230,91.30434783,24.305,12,1.31,737.7,145
92,3.6,4.4,101,1,750,10,215,89.30232558,26.982,13,1.61,577.5,118
92,3.6,4.4,101,1,770,10,215,98.60465116,92.90638,41,1.6,652.1,146
90,10,0,105,0.5,770,20,195,69.23076923,92.90638,41,1.6,652.1,146
90,10,0,105,1,770,20,192,94.27083333,92.90638,41,1.6,652.1,146
90,10,0,105,2,770,20,175,81.14285714,92.90638,41,1.6,652.1,146
80,10,10,105,5,775,15,196.222455,95.3,79.904,35,2.96,1139.9,120
80,10,10,105,5,775,15,200.832466,96.1,35.453,17,3.16,1251.2,99
80,10,10,105,5,775,15,196.078431,86.7,18.998,9,3.98,1681,64
