0,1,2,3,4,5,6,7,8,9,10,11,12,13
,0.08,0.0,0.8879310344827587,0.05,,0.16666666666666666,0.710390570021112,0.8824549858575726,,,,0.3879238548483046,0.6886792452830188
0.95,,0.0,,0.05,,0.16666666666666666,,,,,0.4020100502512563,0.3879238548483046,
0.95,0.08,,0.8879310344827587,0.05,0.8333333333333334,,,0.8557135776328987,0.2603731505657093,0.2972972972972973,0.3869346733668342,0.39190957763236167,0.6933962264150944
0.95,0.08,,0.8879310344827587,,0.7777777777777778,0.16666666666666666,0.6032723434201267,0.9315084361083249,,0.5540540540540541,0.4020100502512563,0.3879238548483046,0.6886792452830188
0.95,0.08,0.0,0.8879310344827587,0.05,0.8888888888888888,,0.7248381421534131,0.611380790672016,,,0.3869346733668342,,
,0.08,,0.8879310344827587,,,0.16666666666666666,,0.9461289806419257,0.2603731505657093,0.2972972972972973,0.3869346733668342,,0.6933962264150944
0.95,0.08,0.0,0.8879310344827587,0.05,0.8333333333333334,,,,0.49621409921671017,0.5405405405405406,0.3341708542713568,0.38078524687685905,0.7547169811320755
0.95,0.08,0.0,0.8879310344827587,0.05,0.8333333333333334,0.16666666666666666,0.7006298381421534,0.7936766874623872,,0.7702702702702703,0.2763819095477387,0.3201070791195717,0.7971698113207547
0.92,0.128,0.0,0.8706896551724138,0.05,,,,0.9320917389167502,,1.0,,0.4580606781677573,0.6556603773584906
,0.128,0.0,,0.05,0.8055555555555556,,0.6318789584799438,0.8411468953861584,,,0.4020100502512563,,0.6886792452830188
0.92,0.128,0.0,0.8706896551724138,0.05,0.8055555555555556,0.16666666666666666,,0.8390202632898696,0.13220735422106178,0.16216216216216217,0.3291457286432161,0.43884592504461634,
,0.0,,0.8706896551724138,0.05,0.8888888888888888,0.16666666666666666,0.633356790992259,,,,0.40452261306532666,0.34354550862581795,
0.95,0.0,0.16666666666666666,0.8706896551724138,0.05,0.8888888888888888,,0.6685432793807178,,0.2603731505657093,0.2972972972972973,0.3869346733668342,,0.6933962264150944
0.95,0.0,0.16666666666666666,0.8706896551724138,0.05,0.8888888888888888,,0.7318789584799438,,,0.9864864864864865,0.3768844221105528,,0.6886792452830188
0.95,,0.16666666666666666,0.8706896551724138,0.05,,0.16666666666666666,,0.7923771313941825,0.6623150565709313,0.6891891891891891,,0.496133254015467,0.660377358490566
,0.0,,0.8706896551724138,,,0.16666666666666666,0.724841660802252,0.7823470411233701,0.5053654264577894,,0.4020100502512563,0.3879238548483046,0.6886792452830188
,0.0,0.16666666666666666,0.8706896551724138,,0.8888888888888888,,0.7916959887403238,0.8324974924774323,1.0,1.0,0.592964824120603,0.4580606781677573,0.6556603773584906
,,0.16666666666666666,0.8706896551724138,,0.8888888888888888,,0.7916959887403238,,0.5219212358572672,0.5675675675675675,0.542713567839196,0.40707911957168347,
,0.0,0.16666666666666666,,0.05,0.7777777777777778,,0.7741027445460943,0.802407221664995,0.14676892950391643,0.17567567567567569,0.40452261306532666,0.34354550862581795,0.5566037735849056
,0.032,0.1,0.8706896551724138,0.05,0.7777777777777778,0.16666666666666666,0.8022519352568614,,,0.5675675675675675,0.542713567839196,0.40707911957168347,0.6556603773584906
0.95,,,0.8706896551724138,0.05,0.7777777777777778,0.5,0.7565095003518649,,0.14676892950391643,,0.40452261306532666,,0.5566037735849056
0.95,,,0.8706896551724138,,0.7777777777777778,,0.7283603096410979,0.6920762286860581,0.14676892950391643,0.17567567567567569,0.40452261306532666,0.34354550862581795,
,0.0,0.16666666666666666,0.8706896551724138,,0.7777777777777778,,0.8163265306122449,0.9127382146439318,0.5219212358572672,0.5675675675675675,0.542713567839196,,
,,0.16666666666666666,0.8706896551724138,0.05,0.7777777777777778,,,0.8906720160481444,,,,,0.6556603773584906
,0.0,0.16666666666666666,0.8706896551724138,,0.7777777777777778,1.0,0.8163265306122449,0.8746238716148446,0.5219212358572672,0.5675675675675675,0.542713567839196,0.40707911957168347,0.6556603773584906
,0.0,0.16666666666666666,0.8706896551724138,0.05,,0.16666666666666666,,0.6619859578736208,0.14676892950391643,0.17567567567567569,0.40452261306532666,0.34354550862581795,0.5566037735849056
0.95,0.0,,0.8706896551724138,0.05,,0.16666666666666666,0.8022519352568614,,,0.5675675675675675,0.542713567839196,0.40707911957168347,0.6556603773584906
1.0,0.0,,,0.05,0.8555555555555555,0.16666666666666666,,0.9057875380140421,1.0,1.0,0.592964824120603,0.4580606781677573,0.6556603773584906
1.0,0.0,0.0,0.8706896551724138,,0.8777777777777778,,,,1.0,1.0,0.592964824120603,0.4580606781677573,0.6556603773584906
1.0,0.0,0.0,,,0.9,0.16666666666666666,0.720619282195637,0.9579519809428284,1.0,,0.592964824120603,0.4580606781677573,0.6556603773584906
,,,0.8620689655172413,,,,0.7420830401125968,0.812774977331996,,0.16216216216216217,0.3291457286432161,0.43884592504461634,
,0.16,0.3333333333333333,0.9482758620689655,0.05,0.8666666666666667,0.25,0.6439127375087966,0.9756044088264795,0.48360449303742387,0.527027027027027,,0.35693039857227843,
0.8,0.16,,0.9482758620689655,,,,,,0.48360449303742387,,,0.35693039857227843,
,0.16,,0.9482758620689655,,0.8666666666666667,0.25,0.6228008444757214,0.9973423094282848,,,,,1.0
0.8,0.16,0.3333333333333333,,0.2,,0.25,0.6087262491203378,,0.48360449303742387,,,0.35693039857227843,1.0
0.9,0.0,0.3333333333333333,,0.1,,,,0.9218130581745235,0.14676892950391643,0.17567567567567569,0.40452261306532666,0.34354550862581795,0.5566037735849056
0.9,0.0,0.3333333333333333,0.8706896551724138,0.2,0.6666666666666666,,0.7283603096410979,,0.14676892950391643,,0.40452261306532666,,0.5566037735849056
0.9,0.0,0.3333333333333333,0.8706896551724138,,0.6666666666666666,0.16666666666666666,0.7002111189303308,0.9515985141424272,0.14676892950391643,0.17567567567567569,,,0.5566037735849056
0.9,0.0,0.3333333333333333,0.8706896551724138,0.1,0.8,0.16666666666666666,0.7635467980295567,0.9244322830491474,0.14676892950391643,0.17567567567567569,,0.34354550862581795,0.5566037735849056
,,0.3333333333333333,0.8706896551724138,,0.8,0.16666666666666666,,0.857713326880642,,0.17567567567567569,0.40452261306532666,,
0.94,0.064,,,0.05,,0.16666666666666666,,0.9107321965897692,0.984268276762402,,,,0.6886792452830188
0.94,0.064,0.06666666666666667,,0.05,0.7777777777777778,0.16666666666666666,0.7772695285010557,,,,0.3768844221105528,0.4527067221891731,0.6886792452830188
,0.064,,,0.05,0.8111111111111111,0.16666666666666666,,,0.984268276762402,0.9864864864864865,0.3768844221105528,0.4527067221891731,
0.94,0.064,,,0.05,0.8333333333333334,0.16666666666666666,,0.9348044132397192,,,0.3768844221105528,0.4527067221891731,
0.94,,,0.8706896551724138,,,0.16666666666666666,0.7864180154820549,,0.984268276762402,0.9864864864864865,0.3768844221105528,,0.6886792452830188
,0.0,0.0,0.8706896551724138,0.025,0.7222222222222222,0.16666666666666666,0.8275862068965517,0.7793380140421264,0.14676892950391643,,,0.34354550862581795,0.5566037735849056
,0.0,0.0,0.8706896551724138,0.025,,0.16666666666666666,0.8092892329345531,0.7432296890672015,0.14676892950391643,,0.40452261306532666,0.34354550862581795,0.5566037735849056
