hidden,entropy_reg,bandwidth,score_epoch,interval,mae,wass,train_time,imp_time,overall_mae,overall_rmse,mice_missing_mae,mice_missing_rmse,mice_overall_mae,mice_overall_rmse,rfmice_missing_mae,rfmice_missing_rmse,rfmice_overall_mae,rfmice_overall_rmse,best_method_missing_mae,best_method_missing_rmse,best_method_overall_mae,best_method_overall_rmse,missing,dataset_name,seed,p_miss
"[128, 128]",10.0,0.5,200,1,0.4153966324834819,0.8870277092023232,4.464677333831787,1.4427568912506104,0.0650460400266276,0.3317553691180782,0.5139141748033755,0.8132742021586129,0.08047268410593318,0.32182215715108264,0.34556587404721484,0.6885052219369036,0.05411139599453905,0.27244960573617844,RFMICE,RFMICE,RFMICE,RFMICE,MAR,normalized_data,4,0.3
"[128, 128]",10.0,0.5,200,1,0.48725458721939047,1.44653246681822,4.41876745223999,1.3092761039733887,0.14811229856902594,0.49741133528852277,0.6746395206075463,1.020643531627207,0.20507228197258306,0.5627191309484187,0.34973589676164674,0.7239393213180918,0.10631031276088035,0.399134950771725,RFMICE,RFMICE,RFMICE,RFMICE,MNAR,normalized_data,4,0.3
